q_id,question,ground_truth,generated_answer,source_urls,rank,response_time,question_type,num_retrieved
0,"Generate a multi-hop question and its answer based only on the context below.

Context:
In the latter case, the search space is typically a function space, and one calculates the Fréchet derivative of the functional to be minimized to determine the descent direction. That gradient descent works in any number of dimensions (finite number at least) can be seen as a consequence of the Cauchy–Schwarz inequality, i.e. the magnitude of the inner (dot) product of two vectors of any dimension is maximized when they are colinear. In the case of gradient descent, that would be when the vector of independent variable adjustments is proportional to the gradient vector of partial derivatives. The gradient descent can take many iterations to compute a local minimum with a required accuracy, if the curvature in different directions is very different for the given function. For such functions, preconditioning, which changes the geometry of the space to shape the function level sets like concentric circles, cures the slow convergence. Constructing and applying preconditioning can be computationally expensive, however. The gradient descent can be modified via momentums (Nesterov, Polyak, and Frank–Wolfe) and heavy-ball parameters (exponential moving averages and positive-negative momentum). The main examples of such optimizers are Adam, DiffGrad, Yogi, AdaBelief, etc. Methods based on Newton's method and inversion of the Hessian using conjugate gradient techniques can be better alternatives. Generally, such methods converge in fewer iterations, but the cost of each iteration is higher. An example is the BFGS method which consists in calculating on every step a matrix by which the gradient vector is multiplied to go into a ""better"" direction, combined with a more sophisticated line search algorithm, to find the ""best"" value of 
  
    
      
        η
        .

Format:
 ...",...,"An example is the BFGS method which consists in calculating on every step a matrix by which the gradient vector is multiplied to go into a ""better"" direction, combined with a more sophisticated line search algorithm, to find the ""best"" value of η An example is the BFGS method which consists in calculating on every step a matrix by which the gradient vector is multiplied to go into a ""better"" direction, combined with a more sophisticated line search algorithm, to find the ""best"" value of η The gradient descent can take many iterations to compute a local minimum with a required accuracy, if the curvature in different directions is very different for the given function",['https://en.wikipedia.org/wiki/Gradient_descent'],1,0.528691291809082,multi-hop,10
1,"Generate a comparative question and its answer based only on the context below.

Context:
3 & 4, 2007
""The Most Important Right We Think We Have But Don't: Freedom from Religious Discrimination in Education"". Nevada Law Journal, Vol. 7, p. 171, 2006
""Jurisprudence of the New Anti-Semitism"", Wake Forest Law Review, Vol. 44, 2009. Testimonies
Marcus has several times been used as an expert witness:

Religious Harassment in Public Schools
Fighting Anti-Semitism
In November 2012, Marcus testified before the U.S. Commission on Civil Rights as an expert on discrimination against Muslim and Arab Americans. His testimony highlights discrimination in public schools and penal institutions, as well as harmful stereotypes in popular culture. In June 2024, Marcus testified before the House Ways and Means Committee on the topic of “antisemitism, radical faculty, and the failure of university leadership” on college campuses in the wake of the Gaza war. He emphasized the need for university leadership to take accountability for “student violent extremism” and “professorial politicization” contributing to Jewish hate on campus. Notes and references
References


=== Sources ===

Format:
 ...",...,"In June 2024, Marcus testified before the House Ways and Means Committee on the topic of “antisemitism, radical faculty, and the failure of university leadership” on college campuses in the wake of the Gaza war Testimonies Marcus has several times been used as an expert witness: Religious Harassment in Public Schools Fighting Anti-Semitism In November 2012, Marcus testified before the U Testimonies Marcus has several times been used as an expert witness: Religious Harassment in Public Schools Fighting Anti-Semitism In November 2012, Marcus testified before the U",['https://en.wikipedia.org/wiki/Kenneth_L._Marcus'],1,0.4241507053375244,comparative,10
2,"Generate a comparative question and its answer based only on the context below.

Context:
Another study, published in August 2024, on Large language model investigates how language models perpetuate covert racism, particularly through dialect prejudice against speakers of African American English (AAE). It highlights that these models exhibit more negative stereotypes about AAE speakers than any recorded human biases, while their overt stereotypes are more positive. This discrepancy raises concerns about the potential harmful consequences of such biases in decision-making processes. A study published by the Anti-Defamation League in 2025 found that several major LLMs, including ChatGPT, Llama, Claude, and Gemini showed anti-Israel bias. A 2018 study found that commercial gender classification systems had significantly higher error rates for darker-skinned women, with error rates up to 34.7%, compared to near-perfect accuracy for lighter-skinned men. Law enforcement and legal proceedings
Algorithms already have numerous applications in legal systems. An example of this is COMPAS, a commercial program widely used by U.S. courts to assess the likelihood of a defendant becoming a recidivist. ProPublica claims that the average COMPAS-assigned recidivism risk level of black defendants is significantly higher than the average COMPAS-assigned risk level of white defendants, and that black defendants are twice as likely to be erroneously assigned the label ""high-risk"" as white defendants. One example is the use of risk assessments in criminal sentencing in the United States and parole hearings, judges were presented with an algorithmically generated score intended to reflect the risk that a prisoner will repeat a crime. For the time period starting in 1920 and ending in 1970, the nationality of a criminal's father was a consideration in those risk assessment scores.

Format:
 ...",...,"ProPublica claims that the average COMPAS-assigned recidivism risk level of black defendants is significantly higher than the average COMPAS-assigned risk level of white defendants, and that black defendants are twice as likely to be erroneously assigned the label ""high-risk"" as white defendants ProPublica claims that the average COMPAS-assigned recidivism risk level of black defendants is significantly higher than the average COMPAS-assigned risk level of white defendants, and that black defendants are twice as likely to be erroneously assigned the label ""high-risk"" as white defendants One example is the use of risk assessments in criminal sentencing in the United States and parole hearings, judges were presented with an algorithmically generated score intended to reflect the risk that a prisoner will repeat a crime",['https://en.wikipedia.org/wiki/Algorithmic_bias'],1,0.3577721118927002,comparative,10
3,"Generate a comparative question and its answer based only on the context below.

Context:
Near the top we had to leave the wagon and go the rest of the way on mules. I was very tired. But when I saw the view, I felt great joy. All the wonder of America seemed displayed there, with the sea-like expanse. Bates had personally experienced sexist prejudice and discrimination, had witnessed the ravages of the industrial revolution in both America and Britain, had seen first hand urban poverty and misery, and keenly wished for equality. It was this desire for an all-inclusive egalitarian American community that inspired the poem, which was written during the severe economic depression of 1893. The words to her famous poem first appeared in print in The Congregationalist, a weekly journal, for Independence Day, 1895. The poem reached a wider audience when her revised version was printed in the Boston Evening Transcript on November 19, 1904. Her final expanded version was written in 1913. When a version appeared in her collection America the Beautiful, and Other Poems (1912), a reviewer in the New York Times wrote: ""we intend no derogation to Miss Katharine Lee Bates when we say that she is a good minor poet."" On November 11, 1918, a battalion of the 26th Infantry Division of the US Army (colloquially known as the Yankee Division) sang ""America the Beautiful"" upon hearing the announcement of the Armistice. The hymn has been sung to several tunes, but the familiar one is by Samuel A. Ward (1847–1903), written for his hymn ""Materna"" (1882). Relationship with Katharine Coman
The nature of Bates's relationship with her Wellesley College faculty colleague, friend, occasional traveling companion, and ""Scarab House"" tenant Katharine Coman has been the subject of scholarly discussion for four decades.

Format:
 ...",...,"When a version appeared in her collection America the Beautiful, and Other Poems (1912), a reviewer in the New York Times wrote: ""we intend no derogation to Miss Katharine Lee Bates when we say that she is a good minor poet When a version appeared in her collection America the Beautiful, and Other Poems (1912), a reviewer in the New York Times wrote: ""we intend no derogation to Miss Katharine Lee Bates when we say that she is a good minor poet Relationship with Katharine Coman The nature of Bates's relationship with her Wellesley College faculty colleague, friend, occasional traveling companion, and ""Scarab House"" tenant Katharine Coman has been the subject of scholarly discussion for four decades",['https://en.wikipedia.org/wiki/Katharine_Lee_Bates'],1,0.44651317596435547,comparative,10
4,"Generate a comparative question and its answer based only on the context below.

Context:
Publishers have started to expect broader game proposals even featuring playable prototypes. High concept
High concept is a brief description of a game. The high concept is the one- or two-sentence response to the question, ""What is your game about?"". Pitch
A pitch, concept document, proposal document, or game proposal is a short summary document intended to present the game's selling points and detail why the game would be profitable to develop. Verbal pitches may be made to management within the developer company, and then presented to publishers. A written document may need to be shown to publishers before funding is approved. A game proposal may undergo one to several green-light meetings with publisher executives who determine if the game is to be developed. The presentation of the project is often given by the game designers. Demos may be created for the pitch; however may be unnecessary for established developers with good track records. If the developer acts as its own publisher, or both companies are subsidiaries of a single company, then only the upper management needs to give approval. Concept
Concept document, game proposal, or game plan is a more detailed document than the pitch document. This includes all the information produced about the game. This includes the high concept, game's genre, gameplay description, features, setting, story, target audience, hardware platforms, estimated schedule, marketing analysis, team requirements, and risk analysis. Before an approved design is completed, a skeleton crew of programmers and artists usually begins work. Programmers may develop quick-and-dirty prototypes showcasing one or more features that stakeholders would like to see incorporated in the final product.

Format:
 ...",...,"This includes the high concept, game's genre, gameplay description, features, setting, story, target audience, hardware platforms, estimated schedule, marketing analysis, team requirements, and risk analysis This includes the high concept, game's genre, gameplay description, features, setting, story, target audience, hardware platforms, estimated schedule, marketing analysis, team requirements, and risk analysis Pitch A pitch, concept document, proposal document, or game proposal is a short summary document intended to present the game's selling points and detail why the game would be profitable to develop",['https://en.wikipedia.org/wiki/Video_game_development'],1,0.3747730255126953,comparative,10
5,"Generate a factual question and its answer based only on the context below.

Context:
In addition to accessibility in terms of web crawlers (addressed above), user web accessibility has become increasingly important for SEO. International markets and SEO
Optimization techniques are highly tuned to the dominant search engines in the target market. The search engines' market shares vary from market to market, as does competition. Google has maintained dominant market share in most regions, with varying percentages by market. In markets outside the United States, Google's share is often larger, and data showed Google was the dominant search engine worldwide as of 2007. As of 2006, Google had an 85–90% market share in Germany. As of March 2024, Google still had a significant market share of 89.85% in Germany. As of March 2024, Google's market share in the UK was 93.61%. Successful search engine optimization (SEO) for international markets requires more than just translating web pages. It may also involve registering a domain name with a country-code top-level domain (ccTLD) or a relevant top-level domain (TLD) for the target market, choosing web hosting with a local IP address or server, and using a Content Delivery Network (CDN) to improve website speed and performance globally. It is also important to understand the local culture so that the content feels relevant to the audience. This includes conducting keyword research for each market, using hreflang tags to target the right languages, and building local backlinks. However, the core SEO principles—such as creating high-quality content, improving user experience, and building links—remain the same, regardless of language or region.

Format:
 ...",...,"It may also involve registering a domain name with a country-code top-level domain (ccTLD) or a relevant top-level domain (TLD) for the target market, choosing web hosting with a local IP address or server, and using a Content Delivery Network (CDN) to improve website speed and performance globally It may also involve registering a domain name with a country-code top-level domain (ccTLD) or a relevant top-level domain (TLD) for the target market, choosing web hosting with a local IP address or server, and using a Content Delivery Network (CDN) to improve website speed and performance globally In markets outside the United States, Google's share is often larger, and data showed Google was the dominant search engine worldwide as of 2007",['https://en.wikipedia.org/wiki/Search_engine_optimization'],1,0.3624389171600342,factual,10
6,"Generate a factual question and its answer based only on the context below.

Context:
Cooling and heating
For pure heating or cooling of any system (gas, liquid or solid) at constant pressure from an initial temperature 
  
    
      
        
          T
          
            0
          
        
      
    
    {\textstyle T_{0}}
  
 to a final temperature 
  
    
      
        T
      
    
    {\textstyle T}
  
, the entropy change is:

  
    
      
        Δ
        S
        =
        n
        
          C
          
            
              P
            
          
        
        ln
        ⁡
        
          
            T
            
              T
              
                0
              
            
          
        
      
    
    {\textstyle \Delta S=nC_{\mathrm {P} }\ln {\frac {T}{T_{0}}}}
  

provided that the constant-pressure molar heat capacity (or specific heat) 
  
    
      
        
          C
          
            
              P
            
          
        
      
    
    {\textstyle C_{\mathrm {P} }}
  
 is constant and that no phase transition occurs in this temperature interval. Similarly at constant volume, the entropy change is:
  
    
      
        Δ
        S
        =
        n
        
          C
          
            
              V
            
          
        
        ln
        ⁡
        
          
            T
            
              T
              
                0
              
            
          
        
      
    
    {\displaystyle \Delta S=nC_{\mathrm {V} }\ln {\frac {T}{T_{0}}}}
  
where the constant-volume molar heat capacity 
  
    
      
        
          C
          
            
              V
            
          
        
      
    
    {\textstyle C_{\mathrm {V} }}
  
 is constant and there is no phase change. At low temperatures near absolute zero, heat capacities of solids quickly drop off to near zero, so the assumption of constant heat capacity does not apply. Since entropy is a state function, the entropy change of any process in which temperature and volume both vary is the same as for a path divided into two steps – heating at constant volume and expansion at constant temperature. For an ideal gas, the total entropy change is:
  
    
      
        Δ
        S
        =
        n
        
          C
          
            
              V
            
          
        
        ln
        ⁡
        
          
            T
            
              T
              
                0
              
            
          
        
        +
        n
        R
        ln
        ⁡
        
          
            V
            
              V
              
                0
              
            
          
        
      
    
    {\displaystyle \Delta S=nC_{\mathrm {V} }\ln {\frac {T}{T_{0}}}+nR\ln {\frac {V}{V_{0}}}}
  
Similarly if the temperature and pressure of an ideal gas both vary:
  
    
      
        Δ
        S
        =
        n
        
          C
          
            
              P
            
          
        
        ln
        ⁡
        
          
            T
            
              T
              
                0
              
            
          
        
        −
        n
        R
        ln
        ⁡
        
          
            P
            
              P
              
                0
              
            
          
        
      
    
    {\displaystyle \Delta S=nC_{\mathrm {P} }\ln {\frac {T}{T_{0}}}-nR\ln {\frac {P}{P_{0}}}}

Phase transitions
Reversible phase transitions occur at constant temperature and pressure. The reversible heat is the enthalpy change for the transition, and the entropy change is the enthalpy change divided by the thermodynamic temperature.

Format:
 ...",...,"Cooling and heating For pure heating or cooling of any system (gas, liquid or solid) at constant pressure from an initial temperature T 0 {\textstyle T_{0}} to a final temperature T {\textstyle T} , the entropy change is: Δ S = n C P ln ⁡ T T 0 {\textstyle \Delta S=nC_{\mathrm {P} }\ln {\frac {T}{T_{0}}}} provided that the constant-pressure molar heat capacity (or specific heat) C P {\textstyle C_{\mathrm {P} }} is constant and that no phase transition occurs in this temperature interval Cooling and heating For pure heating or cooling of any system (gas, liquid or solid) at constant pressure from an initial temperature T 0 {\textstyle T_{0}} to a final temperature T {\textstyle T} , the entropy change is: Δ S = n C P ln ⁡ T T 0 {\textstyle \Delta S=nC_{\mathrm {P} }\ln {\frac {T}{T_{0}}}} provided that the constant-pressure molar heat capacity (or specific heat) C P {\textstyle C_{\mathrm {P} }} is constant and that no phase transition occurs in this temperature interval For an ideal gas, the total entropy change is: Δ S = n C V ln ⁡ T T 0 + n R ln ⁡ V V 0 {\displaystyle \Delta S=nC_{\mathrm {V} }\ln {\frac {T}{T_{0}}}+nR\ln {\frac {V}{V_{0}}}} Similarly if the temperature and pressure of an ideal gas both vary: Δ S = n C P ln ⁡ T T 0 − n R ln ⁡ P P 0 {\displaystyle \Delta S=nC_{\mathrm {P} }\ln {\frac {T}{T_{0}}}-nR\ln {\frac {P}{P_{0}}}} Phase transitions Reversible phase transitions occur at constant temperature and pressure",['https://en.wikipedia.org/wiki/Entropy'],1,0.465421199798584,factual,10
7,"Generate a inferential question and its answer based only on the context below.

Context:
In reality the structure is more complicated, forming a directed acyclic graph, but for many purposes ""tree with merges"" is an adequate approximation. Revisions occur in sequence over time, and thus can be arranged in order, either by revision number or timestamp. Revisions are based on past revisions, though it is possible to largely or completely replace an earlier revision, such as ""delete all existing text, insert new text"". In the simplest case, with no branching or undoing, each revision is based on its immediate predecessor alone, and they form a simple line, with a single latest version, the ""HEAD"" revision or tip. In graph theory terms, drawing each revision as a point and each ""derived revision"" relationship as an arrow (conventionally pointing from older to newer, in the same direction as time), this is a linear graph. If there is branching, so multiple future revisions are based on a past revision, or undoing, so a revision can depend on a revision older than its immediate predecessor, then the resulting graph is instead a directed tree (each node can have more than one child), and has multiple tips, corresponding to the revisions without children (""latest revision on each branch""). In principle the resulting tree need not have a preferred tip (""main"" latest revision) – just various different revisions – but in practice one tip is generally identified as HEAD. When a new revision is based on HEAD, it is either identified as the new HEAD, or considered a new branch.

Format:
 ...",...,"If there is branching, so multiple future revisions are based on a past revision, or undoing, so a revision can depend on a revision older than its immediate predecessor, then the resulting graph is instead a directed tree (each node can have more than one child), and has multiple tips, corresponding to the revisions without children (""latest revision on each branch"") If there is branching, so multiple future revisions are based on a past revision, or undoing, so a revision can depend on a revision older than its immediate predecessor, then the resulting graph is instead a directed tree (each node can have more than one child), and has multiple tips, corresponding to the revisions without children (""latest revision on each branch"") If there is branching, so multiple future revisions are based on a past revision, or undoing, so a revision can depend on a revision older than its immediate predecessor, then the resulting graph is instead a directed tree (each node can have more than one child), and has multiple tips, corresponding to the revisions without children (""latest revision on each branch"")",['https://en.wikipedia.org/wiki/Version_control'],1,0.3635571002960205,inferential,10
8,"Generate a multi-hop question and its answer based only on the context below.

Context:
Forum Theatre was a non-profit theatre company based in Washington, D.C. Founded in 2004 as Forum Theatre and Dance, it worked out of the Warehouse Theatre, the H Street Playhouse and, in its final years, out of a black box theatre in Silver Spring, Maryland. The company focused on plays that featured storytelling and theatricality. The company also aimed to host productions dealing with topics that lent themselves to post-show discussions, which the theatre hosted in the lobby. It was known for producing ""new and recent plays at revolutionarily low prices,"" according to The Washington Post. The Forum Theatre ceased operations on July 31, 2018. History
Forum Theatre was founded in 2004 by Kelly Bartnik, Michael Dove, Paul Frydrychowski, and Mark W.C. Wright. Instead of using a single performance method, Forum would explore storytelling styles and artistic media. The founders had backgrounds in film, dance/movement, music, visual art, and theatre. The company also aimed to bring new or seldom-performed plays to Washington, using the shows to promote artistic expression and discussion. The company's first productions were a collection of Samuel Beckett short plays and a movement and video piece called All Things Seen, based on Jean-Paul Sartre's No Exit. The company performed at the Arena Stage in Washington, Warehouse Theater, Church Street Theater, The University of Maryland, The Kennedy Center Millennium Stage, and Round House Theatre in Silver Spring, Maryland before taking up residence at the H Street Playhouse in northeast DC in June 2007. Its production history includes the world premieres of Israeli playwright Ami Dayan's UpShot and a new translation of The Gas Heart commissioned by the company, along with the DC premieres of Hamletmachine, Václav Havel's The Memorandum, Kid-Simple: A Radio Play in the Flesh, Caryl Churchill's The Skriker, and Don DeLillo's Valparaiso.

Format:
 ...",...,"The company performed at the Arena Stage in Washington, Warehouse Theater, Church Street Theater, The University of Maryland, The Kennedy Center Millennium Stage, and Round House Theatre in Silver Spring, Maryland before taking up residence at the H Street Playhouse in northeast DC in June 2007 The company performed at the Arena Stage in Washington, Warehouse Theater, Church Street Theater, The University of Maryland, The Kennedy Center Millennium Stage, and Round House Theatre in Silver Spring, Maryland before taking up residence at the H Street Playhouse in northeast DC in June 2007 The company also aimed to host productions dealing with topics that lent themselves to post-show discussions, which the theatre hosted in the lobby","['https://en.wikipedia.org/wiki/Forum_Theatre_(Washington,_D.C.)']",1,0.39359402656555176,multi-hop,10
9,"Generate a comparative question and its answer based only on the context below.

Context:
But most modern big-budget games take localization into account during the development process and the games are released in several different languages simultaneously. Localization is the process of translating the language assets in a game into other languages. By localizing games, they increase their level of accessibility where games could help to expend the international markets effectively. Game localization is generally known as language translations yet a ""full localization"" of a game is a complex project. Different levels of translation range from: zero translation being that there is no translation to the product and all things are sent raw, to basic translation where only a few text and subtitles are translated or even added, and full translation where new voiceovers and game material changes are added. There are various essential elements in localizing a game including translating the language of the game to adjusting in-game assets for different cultures to reach more potential consumers in other geographies (or globalization for short). The translation seems to fall into the scope of localization, which itself constitutes a substantially broader endeavour. These include the different levels of translation to the globalization of the game itself. However, certain developers seem to be divided on whether globalization falls under localization or not. Moreover, to fit into the local markets, game production companies often change or redesign the graphic designs or the packaging of the game for marketing purposes. For example, the popular game Assassin's Creed has two different packaging designs for the European and US markets.

Format:
 ...",...,"Different levels of translation range from: zero translation being that there is no translation to the product and all things are sent raw, to basic translation where only a few text and subtitles are translated or even added, and full translation where new voiceovers and game material changes are added Different levels of translation range from: zero translation being that there is no translation to the product and all things are sent raw, to basic translation where only a few text and subtitles are translated or even added, and full translation where new voiceovers and game material changes are added Different levels of translation range from: zero translation being that there is no translation to the product and all things are sent raw, to basic translation where only a few text and subtitles are translated or even added, and full translation where new voiceovers and game material changes are added",['https://en.wikipedia.org/wiki/Video_game_development'],1,0.34180593490600586,comparative,10
